policy_id,customer_id,agent_id,policy_type,policy_start_date,policy_end_date,premium_amount,sum_insured,policy_status
P001,C001,A001,Health,2024-01-01,2024-12-31,18500,500000,Active
P002,C002,A002,Motor,2024-02-01,2025-01-31,12500,350000,Active
P003,C003,A003,Life,2024-01-15,2025-01-14,32000,1500000,Active
P004,C004,A001,Health,2024-03-01,2025-02-28,21000,700000,Active
P005,C005,A004,Motor,2024-01-10,2025-01-09,15500,450000,Expired
P006,C006,A005,Health,2024-04-01,2025-03-31,17250,400000,Active
P007,C007,A006,Motor,2024-05-01,2025-04-30,13800,500000,Active
P008,C008,A002,Life,2024-02-15,2025-02-14,28500,1200000,Active
P009,C009,A003,Health,2024-06-01,2025-05-31,24000,800000,Active
P010,C010,A005,Motor,2024-03-15,2025-03-14,11900,300000,Active
P011,C011,A001,Life,2024-07-01,2025-06-30,36000,2000000,Active
P012,C012,A004,Health,2024-08-01,2025-07-31,19500,600000,Active
P013,C013,A006,Motor,2024-08-15,2025-08-14,14200,400000,Active
P014,C014,A002,Life,2024-09-01,2025-08-31,31000,1800000,Active
P015,C015,A003,Health,2024-09-15,2025-09-14,22500,750000,Active
P016,C016,A005,Motor,2024-10-01,2025-09-30,12800,350000,Active
P017,C017,A001,Health,2024-10-15,2025-10-14,20500,500000,Active
P018,C018,A006,Motor,2024-11-01,2025-10-31,14900,420000,Active
P019,C019,A004,Life,2024-11-15,2025-11-14,33500,1600000,Active
P020,C020,A002,Health,2024-12-01,2025-11-30,21800,650000,Active
